评价,评论类型,情感得分,置信度
挺好吃的，热热就能吃，方便,正面,0.6661399872726064,0.6661399872726064
一收到货，就分享给室友啦，味道很棒，值得再次购买,正面,0.7061248229778719,0.7061248229778719
味道不错，不适合一次性多吃,中性,0.3726414202223285,0.8726414202223285
给了13包少了两包，吃了三个来评价才注意到一共是15包 奥尔良的好吃，黑椒的有点腥,负面,0.2325138822141507,0.7674861177858493
因为急用，跟客服说了一下，第一时间就发货了，很快就收到了，非常感谢！,正面,0.6151833974777714,0.6151833974777714
早上来不及吃早饭可以吃一条这个。还没尝，不知道味道如何,中性,0.34095793226861437,0.8409579322686144
包装换新了,中性,0.3631298932623717,0.8631298932623717
味道很好，价格实惠。,正面,0.869816198324342,0.869816198324342
新包装奥尔良味道的有点辣,中性,0.47941293182797085,0.9794129318279708
我觉得还行，还嫌它味道太好了，吃了两袋100克，减肥阶段有点蛋白质填填肚子还行，又买了15袋可撑到我减肥成功了,正面,0.7370225380767443,0.7370225380767443
一般，没有味道，也不咸,负面,0.22106635037322936,0.7789336496267707
还行，就是没什么味道,中性,0.4588574648748653,0.9588574648748653
习惯好评，实物没有视频中那么大，也不是整块，是小块拼凑，味道还可以,负面,0.27298209542472335,0.7270179045752767
奥尔良比黑椒好吃,正面,0.8307516642748108,0.8307516642748108
味道可以，肉不干，价格实惠，满意。,中性,0.4572284776417516,0.9572284776417517
味道还可以，我个人吃着有点咸，可能是我口轻吧！,中性,0.41601146395839256,0.9160114639583925
好吃，喜欢黑胡椒的,正面,0.7402445509936185,0.7402445509936185
快递包装有待提高,负面,0.14580277098805658,0.8541972290119434
口感还行，味道齁咸，黑椒味的,中性,0.47548493880486037,0.9754849388048603
比想象中的好吃,正面,0.8448314624688775,0.8448314624688775
比想象中的味道好很多，一点也不腥，肉也不是很柴,正面,0.7894394406433596,0.7894394406433596
比原味的好吃,正面,0.6517869205243617,0.6517869205243617
健康又美味，锁死了！,负面,0.3122590264262753,0.6877409735737248
发货还可以，味道有些淡，分量有些小,中性,0.5185584697525772,0.9814415302474228
很好吃，回购三次了，就是发货很慢。,中性,0.37430093475442044,0.8743009347544204
鸡胸肉量足，味道非常好，油脂也少,正面,0.6403767729654857,0.6403767729654857
好吃，小孩也挺喜欢吃,正面,0.8262116537812951,0.8262116537812951
特别好吃，,正面,0.736542031592705,0.736542031592705
嗯，这个东西还不错哦！👌 质量挺好的,正面,0.8087400291171523,0.8087400291171523
质量不错。,正面,0.8746427312644264,0.8746427312644264
味道不错，很嫩，口感好,正面,0.8016171977521929,0.8016171977521929
这个是真好吃，推荐,正面,0.7072156219843635,0.7072156219843635
味道还可以，量也比较良心！点个赞,中性,0.5836491468599236,0.9163508531400764
当天追评：确实挺大量的,中性,0.4943473878606507,0.9943473878606507
经济实惠。。。。。。。。。,正面,0.625084542333423,0.625084542333423
客服很给力，东西比较好吃，还会再买,负面,0.2996663432065087,0.7003336567934912
确定好吃,正面,0.6729999999999999,0.6729999999999999
味道可以，就是肉小，不像视频介绍的那么大。,中性,0.45712848493632124,0.9571284849363213
好吃。减脂期买来解馋的,正面,0.7001937942832828,0.7001937942832828
鸡肉好吃,正面,0.8684534088689789,0.8684534088689789
个人吃着挺好,正面,0.8749770929527666,0.8749770929527666
口味不错,正面,0.895,0.895
挺好吃的，还不错哦,正面,0.8884048325064411,0.8884048325064411
科技的味道,正面,0.645879611713945,0.645879611713945
收到了，还没有吃，不知道怎么样,中性,0.41968299714607965,0.9196829971460796
第一次买，味道很符合我的口味，个人感觉挺有性价比的，回头客做定了！,中性,0.5341402853977762,0.9658597146022238
包裹收到了，还不有吃。,中性,0.4155502895000119,0.9155502895000118
奥尔良好吃一些,正面,0.6517869205243617,0.6517869205243617
价格实惠,正面,0.8149378736001693,0.8149378736001693
好吃，一块就能吃饱,中性,0.5390663249033532,0.9609336750966468
新奥尔良口味非常棒,正面,0.895,0.895
别说，还蛮好吃的，,正面,0.6437219729967305,0.6437219729967305
减肥嘛能有多好吃,正面,0.895,0.895
黑椒比奥尔良好吃，奥尔良的味道有点奇怪,中性,0.4818984598533673,0.9818984598533673
好吃，就是黑胡椒酱的对我来说有点咸,中性,0.47113900229285954,0.9711390022928595
很好吃，味道美味，低脂高蛋白。,正面,0.6202407305531883,0.6202407305531883
我觉得是很健康的食品，降血压补充足量蛋白质！,负面,0.3366323149831422,0.6633676850168577
还好，适合减肥的时候吃。,正面,0.8541086828089064,0.8541086828089064
很好吃 购买多次,正面,0.8611708101044854,0.8611708101044854
51天后追评：口感还可以,中性,0.5203584870634783,0.9796415129365217
非常好吃嗷爱了会回购的，便宜！好吃,正面,0.7990093726436092,0.7990093726436092
价格便宜，味道挺好。,正面,0.7994256120386127,0.7994256120386127
个人感觉还不错，如果有更好的可以推荐给我,正面,0.895,0.895
味道还行，发货很慢,中性,0.3733039391400367,0.8733039391400367
好吃又便宜,正面,0.7805678537798346,0.7805678537798346
经常买。减脂期最方便的高蛋白食品，,正面,0.623811766080121,0.623811766080121
物流韵达，懂的都懂,正面,0.6850670950918811,0.6850670950918811
个人觉得口感不太好😀习惯好评,中性,0.5732669927723499,0.9267330072276501
味道很好，一份的量很足，作早餐很方便。,正面,0.8069900783670763,0.8069900783670763
不错不错挺好的，满意，(๑´ڡ`๑),正面,0.785743902656041,0.785743902656041
多次购买三只松鼠的鸡胸肉，满意好评。,正面,0.8677742877920858,0.8677742877920858
品质很不错🍆，性价比比较高的的商品🍀，喜欢的亲可以直接下手不要犹豫哦📍,正面,0.8849701320422163,0.8849701320422163
物美价廉，物超所值！,正面,0.8345246091953125,0.8345246091953125
很不错，女儿爱吃黑胡椒味的，已买二次。,正面,0.7352201289910452,0.7352201289910452
味道很好,正面,0.8279089529482789,0.8279089529482789
好吃不贵,中性,0.510211350122753,0.989788649877247
好评，就是不够吃，,中性,0.5422955376171489,0.9577044623828511
女朋友说好吃,正面,0.6957522691256532,0.6957522691256532
黑椒的不错,正面,0.895,0.895
味道不错挺好的。,正面,0.895,0.895
好吃便宜,正面,0.7805678537798346,0.7805678537798346
鸡肉太甜了,正面,0.7233056153526363,0.7233056153526363
非常满意,正面,0.7813845278725824,0.7813845278725824
味道确实不错,正面,0.8845575571876205,0.8845575571876205
是正版真正的三只松鼠,正面,0.7738964951219397,0.7738964951219397
非常不错。,正面,0.8792003676470588,0.8792003676470588
不错，吃着挺方便的,正面,0.8270962830671778,0.8270962830671778
味道十分的好，爱吃,正面,0.7283038140064841,0.7283038140064841
吃过，挺好吃的，又买的,正面,0.6713512345504985,0.6713512345504985
先好评吧,中性,0.5396561016559417,0.9603438983440583
多次回购，推荐！,中性,0.4267981662635106,0.9267981662635105
回购了是好的,正面,0.7210640038659792,0.7210640038659792
实惠到时实惠，味道差点,中性,0.42037025907904796,0.9203702590790479
回购多次了，很好吃。就是包快递包装太简陋了。,负面,0.22008358610222825,0.7799164138977718
味道可以,中性,0.4445041322314046,0.9445041322314046
都挺好，就是味太淡了,正面,0.717919823442035,0.717919823442035
回购的👌🏻,中性,0.4792761023718307,0.9792761023718307
口味好，孩子喜欢吃，价格实惠。,正面,0.8780249167514396,0.8780249167514396
物美价廉,正面,0.7257142857142858,0.7257142857142858
19天后追评：味道不错,中性,0.45208507656784414,0.9520850765678441
好好吃,正面,0.7748223027534219,0.7748223027534219
购买了这家店的鸡肉，结果是假货，或是劣质产品。1鸡肉表面一层细沙颗粒，不知道是什么？吃到嘴里牙碜，硌牙。 包装也其他店铺买的包装不同，印刷粗糙。客服告诉我是新包装，他们是官方店。但不给退款，态度恶劣。裙所以各位千万别买他们的东西了，小心有质量问题，影响健康！！！,负面,0.21255996258811716,0.7874400374118828
1天后追评：质量存在问题，不要买，小心影响健康。,负面,0.20371007638758312,0.7962899236124169
物流太暴力了，无语死了,中性,0.38060634816494077,0.8806063481649408
口感味道：一般般根本就不是一整块鸡排全是小碎块拼接出来的,负面,0.15020202249668158,0.8497979775033184
不好吃，甚至有点难吃，口感很奇怪，有些发苦。 不过配料表赶紧,中性,0.35778698195999237,0.8577869819599924
有腥味，难以下咽,负面,0.31793863899661096,0.682061361003389
不好吃，不要买，拆开臭了发霉了。,负面,0.15425185775346326,0.8457481422465367
包装极差，一个快递袋子里面全是散的小包装，大品牌差这么点包装袋钱。,负面,0.10700526049088116,0.8929947395091189
包装太随意,中性,0.48853161172367177,0.9885316117236718
2天后追评：全臭了，发黑，因为之前买过没吃完，今天才吃，很无语,负面,0.21292160336530008,0.7870783966346999
配料表一大堆，自己看吧！我是买后悔了！给我家狗吃了,中性,0.3588398654886631,0.8588398654886631
买了奥尔良味尝鲜装真真真难吃……难以下咽，还剩三包咋办😖😖😖不知道黑胡椒味好不好吃，但是我已经不想再尝鲜了🙂‍↕️😒,负面,0.1773753183512744,0.8226246816487256
首先感觉原料不新鲜，味道很奇怪，颜色也不像新鲜的，其次调味也很拉，每包感觉咸度都不一样有些非常咸，总之这一款鸡胸肉完全不如蜻蜓教练那一款,负面,0.27219536672062106,0.7278046332793789
11天后追评：这么咸真是人类的食物吗,中性,0.4532630521286216,0.9532630521286216
很奇怪，但是还挺好吃🤔,正面,0.7123598097350072,0.7123598097350072
和之前再买一件的味道不一样 怎么能那么闲咸,负面,0.1690687372041339,0.830931262795866
之前买的黑椒味没有苦颗粒，这个碜牙，而且不好吃，还有一袋里面充满了气,负面,0.3348495068190873,0.6651504931809127
物流很快，其他方面都很好，但是东西很难吃。,正面,0.8044638286843337,0.8044638286843337
太难吃了，一股苦味，一股酸味也没过期跟我之前上几个月买的根本不是一个东西,负面,0.1525768661833371,0.8474231338166629
上次买还好，这次太咸了齁咸肉质也差了,负面,0.2671831149037331,0.7328168850962669
包装简陋不说，鸡肉发酸、发苦，还带点腥味，慎买。,负面,0.3327335754672682,0.6672664245327318
新包装报吃，而且看起来很小，不过包装都写了50g。。。。。。,中性,0.5011008136814871,0.9988991863185129
什么都好，就是外包装太差了，希望用纸箱包装,负面,0.2414719598736939,0.7585280401263061
一个快递袋破了一片洞，没有内包装，里面都是灰，体验感很差，吃的东西都不能加个塑料袋。收到的时候破破烂烂,负面,0.14803265257982123,0.8519673474201788
坏了一包、下次快递用盒子,负面,0.08911442059956277,0.9108855794004372
我很少给差评，但这个味道真的难吃，食之无味弃之可惜,负面,0.2468632947921514,0.7531367052078486
一个都没吃完，都丢了，这**胸肉完全下不去口，与我想象中的味道完全不一样,负面,0.25178838021901906,0.7482116197809809
包装黏糊糊的 老大一股味道可,负面,0.0977634550320733,0.9022365449679267
味道一言难尽，吃起来感觉里面有**，和原来完全不一样，怀疑是不是盗版,负面,0.20785813416178037,0.7921418658382197
1天后追评：味道是真的不行，避雷,负面,0.17843112726885357,0.8215688727311464
东西很差，千万不要买！！！！ 不是刷差评哈，买来开了一包，尝了一口就全扔了,负面,0.1481023015837256,0.8518976984162744
不好吃，味道怪怪的，分享给同事，同事怀疑我下毒害他们(╥ω╥`),负面,0.19394017646889888,0.8060598235311012
口感味道：很重的腥味。估计是肉太差了。肉差就算了。毕竟便宜。便宜的调料也不放多点。放多点至少能盖过那个腥臭味是不是。本来觉得这么便宜可能有坑，但以为三只松鼠的会好吃。没想到这么难吃，吃了一口剩下给狗吃了。怪不得要买这么多包才能优惠多点。因为应该没人会买第二次。套路一下让你第一次买多点。,负面,0.20514151339483522,0.7948584866051648
黑胡椒的超级苦 我分给大家了 都说苦,中性,0.3503423601962858,0.8503423601962858
无敌了，买了15个，明显漏了的有三四个，然后六七个轻微漏气，没几个是完好的，汤漏了一袋子，最后补偿了10块钱，懒得计较了，品控无敌了三只松鼠,负面,0.29301156417416196,0.706988435825838
和想象的 期待的不一样，真心不好吃，打开一个小包装 凑到嘴边有股腥味，鸡胸颜色打开乍眼一看 以为是生的，颜色太像生鸡胸的颜色和样子,中性,0.44865364338723435,0.9486536433872343
到的时候是破损件，两种各少一包,负面,0.3395949602706667,0.6604050397293333
真的难吃，一股味道。还三只松鼠大品牌。出品比小作坊还差,中性,0.37693492017104424,0.8769349201710442
包装太简陋了吧，连内衬也没有，就都丢黑快递袋里装回来了,负面,0.1547754285040594,0.8452245714959405
买的一样的，但这次味道却不一样,中性,0.4419362383074635,0.9419362383074634
不是我喜欢的味道，我觉得不好吃，还咸,负面,0.2646423028769076,0.7353576971230924
18天后追评：不好吃。特别难吃，不建议购买,负面,0.20288967210404718,0.7971103278959528
我觉得没必要买 口感很怪 黑椒的里面会掺杂一些淀粉,正面,0.6540433702522528,0.6540433702522528
不好吃，奥尔良一般，黑椒味好腥,中性,0.4386203167784919,0.9386203167784919
不好吃，包装简陋,负面,0.17093659209426215,0.8290634079057378
水分大，口味偏咸，肉质松散,负面,0.24401629116791984,0.7559837088320802
半个月代餐吧,中性,0.3724463605372925,0.8724463605372925
跟之前买的味道不一样，好难吃,中性,0.4091135167183197,0.9091135167183197
超级咸啊啊啊啊😭😭😭,正面,0.6283461092386906,0.6283461092386906
包装真是潦草至极！一个快递袋直接装着！打发谁呢！,负面,0.26272234907846775,0.7372776509215322
有种腥味，不咋好吃。,正面,0.6302570376160715,0.6302570376160715
没有想象的好吃，还是吃新鲜的好。,正面,0.759476896447461,0.759476896447461
不好吃的厉害,负面,0.1517440937321486,0.8482559062678514
黑椒味很难吃 扔了 另一个一般,负面,0.28499590800142044,0.7150040919985796
巨难吃，没有卖家秀拍的那样，都是碎肉,中性,0.5832030007791511,0.9167969992208489
吃起来感觉臭臭的有点想吐。。。,负面,0.1700016326228233,0.8299983673771767
不好吃，太咸了而且还腥,负面,0.2943509368992488,0.7056490631007513
沃**巨臭无比，我还是老老实实自己做饭吃吧,负面,0.12534719340311798,0.874652806596882
退也不退了 一股腥臭味 包装就是一个烂快递袋 留着喂流浪狗了,负面,0.08406504815666266,0.9159349518433373
不是很好吃，一般,正面,0.6475211674519429,0.6475211674519429
一拿到就这样，还缺斤少两，太棒的购物体验了😁,正面,0.7368036841225656,0.7368036841225656
看包装就感觉不好，喂🐶当零食吧,中性,0.42454537978081874,0.9245453797808187
太小了,中性,0.37847300922309746,0.8784730092230975
感觉不太好吃，不是很喜欢，每个人口味不同，个人意见，仅供参考,正面,0.6392005791112476,0.6392005791112476
鸡胸肉超级腥，吃了一包吃到嘴里没滋没味的，闻了一下太腥了。难以下咽。不如自己买点新鲜的鸡胸自己煎，他这个真不知道什么时候的肉。,中性,0.47442000778910337,0.9744200077891034
不刚吃，而且都是散装，包装简陋，感觉很廉价，买的人一定要注意，,负面,0.24308179978421018,0.7569182002157898
15天后追评：奥尔良口味鸡胸肉，有一股不知道怎么形容的味道，奥尔良味道是在的，但是还有一股很难吃的味道夹杂在里面，早知道不买这么多了(╥_╥),负面,0.2633042600041167,0.7366957399958833
奥尔良的一点都不好吃 黑椒的好吃但偏甜 两个口味儿还分开发的 黑椒的吃完三天了奥尔良的才到,正面,0.6372473066123453,0.6372473066123453
味道麻麻，口感一般,负面,0.3383863631751635,0.6616136368248364
快递过来就一个打包袋装着！袋子都磨破了！,负面,0.14496963483874317,0.8550303651612569
