评价,评论类型,情感得分,置信度
这是我吃过最好吃的鸡胸肉，又下单了16片。,负面,0.34037222611284357,0.6596277738871564
鸡排非常好吃，包装的很好，外面泡馍箱，里面保温袋，干冰🧊，收到就吃了两块，肉嫩 好吃😋吃完再来，,中性,0.38864171718312246,0.8886417171831225
确实还可以，包装轻微破损，影响不大。,负面,0.22395007215373053,0.7760499278462695
买了烤肠和鸡排，孩子喜欢吃，锋味的放心，烤肠一**汁，鸡排就还可以，味道没有奥尔良的好吃。,正面,0.6909804925075363,0.6909804925075363
上班族总是点外卖不健康，不如自己做饭。买了这个锋味派的鸡排，都是腌制好的，一份快手减脂餐5分钟就搞定！香香嫩嫩，太好吃啦！下次继续回购！,中性,0.3611407265085836,0.8611407265085835
除了贵没有任何缺点🤣🤣🤣，所以说呢，一分钱一分货，孩子很爱吃，大人更爱吃🤣🤣🤣，包装很精明，袋子还可以循环利用,中性,0.5117327904321762,0.9882672095678238
锋味的品质没的说，顺丰到货超级快，包装的非常好，到手还是冰鲜的，奥尔良味的鸡排味道绝了！秘制酱料入味，甜辣交织超诱人，肉质鲜嫩多汁，煎了后外皮酥脆，一**汁儿，孩子一口气吃两块哈哈,中性,0.5010712590324261,0.9989287409675739
包装严实干净 鸡排很香很嫩 推荐！,正面,0.6968922712963805,0.6968922712963805
这包装真是太好了，物流快，一直支持锋味的美食。,正面,0.7405349654479481,0.7405349654479481
包装完好，日期新鲜，有点小贵哦，期待口感,正面,0.6707048615153295,0.6707048615153295
商家顺丰邮来的，到货时里面的冰袋都还没化，一打开一股干冰冒烟的感觉，特别新鲜！！！这外包装也挺实用的，带孩子出去野餐啥的能穿个烤串啥的。至于味道，第一次买，还没有做，我估计能挺好吃的。明早准备给孩子做早餐。好吃我，会一直回购。,中性,0.42766286792437846,0.9276628679243785
包装很好，鸡排看起来挺好的还没吃,正面,0.8792765704670716,0.8792765704670716
好吃了 会继续回购的,正面,0.6742831832537434,0.6742831832537434
物流快又好，宝宝喜欢吃原味的，做起来方便好吃，鲜嫩口感好,正面,0.8769402539171371,0.8769402539171371
产品质量非常好冰袋送到还没化一定还回购这家产品,中性,0.48909948758903943,0.9890994875890394
无数次回购的，配料表干净。出厂日期新鲜。包装严实，冰块一点都没化，顺丰快递送货到家。 口感嫩而不柴，老少皆宜。一块一块包装，每次煎一块，烹饪简单方便。,负面,0.34834154508784937,0.6516584549121507
味道非常不错，会无限次回购的。👍,正面,0.7936126265284271,0.7936126265284271
买第二次了，减肥期吃很方便低卡，味道也不错,正面,0.7594077966797843,0.7594077966797843
鸡排是真的好，谁吃谁知道，就是那种一口下去就很干净的感觉，包装也好，买得多也并不贵，关键用来减脂非常适合，反正永远回购,中性,0.4919403604506098,0.9919403604506098
味道好，调料味不会过于重，小孩子爱吃，会继续回购,负面,0.2509687827870205,0.7490312172129795
回购很多次了，很好吃，有活动的时候买能便宜些,正面,0.6890911874580748,0.6890911874580748
到底是大品牌，内外包装整洁，冰袋还没有完全化，购买了两种口味的，还没有品尝，期待品尝效果后再追评。先给好评。 顺便点赞快递小哥，认真负责，服务周到👍,正面,0.7646731988313473,0.7646731988313473
锋味包装很好看哦，还是有点添加哦，女儿自己选的，支持锋味,正面,0.7457301453772818,0.7457301453772818
锋味派的品质和包装还真的是很不错，无抗的吃着也安心。 还有保温袋加护，收到冰块还很硬。,正面,0.6457325445190378,0.6457325445190378
目前吃了两片，感觉还行，不愧是谢霆锋 主要是价格有点贵，但是也能接受视频就要质量好,正面,0.7823253593482102,0.7823253593482102
奥尔良和原味都味道淡淡的不是很重口～挺好吃的～鸡排很嫩～独立包装～顺丰快递还给冷藏储存很棒,正面,0.895,0.895
确实很好熟，很健康，没有复杂的调料。这次很划算，包装也很精致！,正面,0.805934471504693,0.805934471504693
煎鸡排，我家老人都能吃，味道很好！我已多次购买了。,正面,0.684403557527439,0.684403557527439
一直喜欢锋味家的产品。,正面,0.7512309325422951,0.7512309325422951
收到时虽然已过了半天，可冰袋还是硬硬的，真不错。,负面,0.25894428429025684,0.7410557157097432
特意吃了来评价，比我别处买的贵点，但是更好吃点。以后来回购。,负面,0.27585204073264846,0.7241479592673515
全是瘦肉，好香好好吃配送快包装好,正面,0.8115134766063727,0.8115134766063727
相信锋味，虽然贵点，但可以试试。收到习惯好评。,中性,0.4858797223233317,0.9858797223233318
早餐方便 营养高 食用安全,中性,0.5997759062122667,0.9002240937877333
真的好好吃，谁吃谁知道，空气炸一下也很方便,正面,0.7365759293395548,0.7365759293395548
味道一如既往的好。鸡排收到还是硬邦邦的。值得购买。以后就吃这个了,正面,0.6843223076501771,0.6843223076501771
差不多每个月都买两次，主要是方便烹饪，小贵。,负面,0.2775992548132912,0.7224007451867088
鸡排制作起来的很简单，也非常好吃，口感和味道都很满意。,正面,0.8661461176669021,0.8661461176669021
很好虽然比别家贵一些但是好吃，除了小象家的无扛，还有这家的，其他家一般不会买,负面,0.26723939823570936,0.7327606017642907
非常好 日期非常新鲜 口感非常嫩滑,正面,0.816659177083869,0.816659177083869
老公要减肥，特意为他买的，品质不错，会继续回购,正面,0.6895497367700618,0.6895497367700618
没有腥味，早上夹汉堡里很好吃，原味添加剂也少，方便快捷！,正面,0.6743314618438208,0.6743314618438208
很好啊，包装非常仔细，物流配送也很快，👍,正面,0.7443344137764435,0.7443344137764435
好吃～而且特别方便,正面,0.7565792939029139,0.7565792939029139
刚收到拆开泡沫箱，一看外包装就能感觉货真价实,负面,0.1146158816434594,0.8853841183565406
不错，挺嫩的，好吃，还会回购,正面,0.605057886000151,0.605057886000151
买了奥尔良和原味，感觉原味更好吃一点，奥尔良调料味有点重！很嫩，小朋友也能吃,负面,0.3414621092115187,0.6585378907884814
奥尔良口味的味道还不错，原味儿的需要自己添加调料。比较嫩，相信是无抗生素鸡排。,正面,0.6364473476267403,0.6364473476267403
质量很好，减脂代餐。配料表简单！,正面,0.7913056289807086,0.7913056289807086
好吃，无限回购,正面,0.8106023389258887,0.8106023389258887
鸡排比之前网购的都好，真材实料能看见都是肉肉，而且很新鲜,中性,0.49762667620233386,0.9976266762023338
好评 好吃,正面,0.6072703136480023,0.6072703136480023
已收到，经常购买，味道挺好吃的，具体是不是无抗的就不知道了，,中性,0.4182077922380418,0.9182077922380418
"好吃，简单又方便,又回购四盒",中性,0.42714823835894655,0.9271482383589466
很嫩很好吃😋煎起来很方便速度快！推荐购买,正面,0.8807193249936802,0.8807193249936802
当天追评：两种口味都很好👍,正面,0.8453908330627845,0.8453908330627845
好吃，嫩滑,中性,0.5895294639357083,0.9104705360642917
33天后追评：才有时间吃，肉质还可以,负面,0.24595129556347095,0.754048704436529
必须回购，太好吃啦,负面,0.32958242989789804,0.670417570102102
很好吃！咸香口+回味有芝士奶奶味,正面,0.8330240774615963,0.8330240774615963
第一次试着买了，没想到鸡排会这么好吃。下次还回来买。,中性,0.5311022315820315,0.9688977684179685
吃过锋味 就回不去普通鸡胸肉 真的很好吃 肉质Q弹 腌制入味,中性,0.5115453800229809,0.9884546199770191
鸡排冷链特到位，打开冰没化，真的大品牌品质有保证，推荐推荐，会回购的！,正面,0.7878774770502268,0.7878774770502268
吃着有点药水味呢，啥原因啊？加啥不该加的东西了吧？包装挺好，挺精美，吃着也挺嫩,负面,0.32557035831370884,0.6744296416862912
非常好吃😋小朋友喜欢，大人也爱吃,正面,0.8728213153049895,0.8728213153049895
煎了两块 包着生菜吃，味道还不错,中性,0.4027738157254563,0.9027738157254563
6天后追评：物流很给力收到冰袋都没化,负面,0.1510479837084359,0.8489520162915641
好吃 很嫩 减脂餐必备呀,正面,0.7614563170699662,0.7614563170699662
空运很新鲜,正面,0.6288690007800654,0.6288690007800654
好吃停不下来了,中性,0.4581117918219579,0.9581117918219579
挺好的，减肥必备品,正面,0.8820145734651825,0.8820145734651825
包装完整没有破损,中性,0.4364586332403808,0.9364586332403808
还不错，口感不错,正面,0.895,0.895
小朋友喜欢奥尔良味，自己喜欢原味，减脂期挺方便的，冲着无抗买的，鸡肉很嫩！,正面,0.7450300775798758,0.7450300775798758
质量不错，物超所值，吃完再买。,正面,0.8036388359724489,0.8036388359724489
还可以吧，有点太鲜了，感觉味精多，嫩还是挺嫩的,中性,0.4714373313945259,0.9714373313945259
好吃，包装很好，快递很快,正面,0.7838161744952803,0.7838161744952803
🍜 好吃到飞起，煮面也能如此美味！每一口都是满满幸福感。😋 锋味的鸡肉质量太棒了，推荐给大家！👍,正面,0.7212560140176072,0.7212560140176072
当天追评：绝了，我喜欢！！！！！！谢霆锋真的有**刷子，第一次喜欢他是读高中的时候，上一次喜欢他是做评委和学员合唱《作曲家》，这一次是因为鸡排！！！哈哈哈哈！！！,负面,0.28868783765904493,0.7113121623409551
一直回购的鸡排，还不错,正面,0.7360205133559935,0.7360205133559935
一直吃这款鸡排 安全又美味,正面,0.6459324281544745,0.6459324281544745
好好好 不用加任何味料都已经有味了。,中性,0.4025507321812567,0.9025507321812567
挺好吃，就是有点贵,正面,0.7169424920020863,0.7169424920020863
第一次买，肉质非常嫩，虽然价格同比小贵，不过确实是好品质,正面,0.6912106953359419,0.6912106953359419
女儿超级爱吃 在家油炸也方便,正面,0.7734979327519168,0.7734979327519168
简单方便，口感不错，就是会有点干,正面,0.6177001305358238,0.6177001305358238
有点甜，味道还可以,正面,0.623081319924948,0.623081319924948
很好吃，孩子喜欢,正面,0.895,0.895
确实一分钱一分货，顺丰送货，味道很不错，空气炸锅也简单，还没出锅，孩子就说好香呀,中性,0.5142652966860649,0.9857347033139351
包装很好。物流很快。鸡肉味道不错。全五星好评。,正面,0.8259610917697267,0.8259610917697267
超级好吃，就是好像减脂期得适当食用，看不懂什么意思( ⌯' '⌯)❓,正面,0.6387825463962244,0.6387825463962244
味道棒棒哒，大人小孩都爱吃，营养又健康！,正面,0.7662333311368109,0.7662333311368109
21天后追评：味道鲜美,负面,0.11984251709912119,0.8801574829008788
物流非常快，态度非常好。食品每一块都有日期，口感好,正面,0.8275949672511962,0.8275949672511962
实在是太好吃了，吃完了又接着买，香的很,正面,0.6141035743321928,0.6141035743321928
已经收到，发的物流挺快的，第二天就到了，冷冻发货，货没有解冻，包装很好的，吃了，味道不错，具体是不是无抗的咱就不知道喽,负面,0.2872844216648249,0.7127155783351751
口感不错，太贵了点，毕竟是锋味吗。,正面,0.731851176295343,0.731851176295343
鸡排超级超级嫩，没牙都可以吃的那种，没有一点嚼劲，不是我想要的那种,负面,0.26230891629457165,0.7376910837054284
肉质很好 ，很嫩，服务很好。,正面,0.7971785899016044,0.7971785899016044
好吃，物有所值,正面,0.8229136890324673,0.8229136890324673
炸出来外酥里嫩很鲜美，小朋友都很喜欢吃。,正面,0.7881145749810282,0.7881145749810282
好吃 添加剂相比较其他品牌确实少很多,正面,0.895,0.895
还不错！服务很好！,正面,0.895,0.895
新增了调味料包,中性,0.29048592000867135,0.7904859200086713
买的原味和奥尔良的，早上早饭有了它很方便,中性,0.4419512043267064,0.9419512043267064
很好很好吃，料很足，味道也棒，重要是食材品质干超级好，点赞！,正面,0.8187457228218658,0.8187457228218658
生产日期是4月份，谢谢。,中性,0.4700695553808042,0.9700695553808042
包装很好，收到货后冰袋还是冰冻的，还没吃味道还不知怎样，要使好还会回购,负面,0.27838976969081525,0.7216102303091847
很嫩 口味好,正面,0.8609408768513656,0.8609408768513656
再次回购，用空气炸锅炸的，特别嫩，比即食的好吃太多了,中性,0.38469995720863254,0.8846999572086325
以前一直都是在实体店买，这次选择了网上买，不光是正品，价格还实惠！,正面,0.7263453882910755,0.7263453882910755
包装到位；口味不错，就是调料包下次可以多送些哈,中性,0.5223181333372092,0.9776818666627908
口味很好，包装精细，第三次购买了,正面,0.7605002727818763,0.7605002727818763
贵是小贵了一点，不过是真的好吃，卫生安全这个价格也能接受,中性,0.43103951627212334,0.9310395162721233
包装严实，冰袋没化，买过其他家的偏咸，估计钠含量爆表，锋味派的吃起来不咸，刚好好👍,负面,0.24098949829694372,0.7590105017030563
回购的，很嫩的鸡肉。,正面,0.6430913512386703,0.6430913512386703
口感非常好,正面,0.871318961672273,0.871318961672273
给孩子煎着吃，挺嫩的，孩子爱吃,正面,0.715955007036881,0.715955007036881
这**排还不错，口感好,正面,0.7786634764396374,0.7786634764396374
还没吃，不知道好不好吃,中性,0.4346500097162013,0.9346500097162014
第二次购买了 家人都喜欢吃 很嫩,正面,0.8285369811135137,0.8285369811135137
包装不错 味道还可以,正面,0.8569728080142002,0.8569728080142002
质量可以，小孩说好吃，好香,正面,0.6568822167765596,0.6568822167765596
味道不错，主要是溯源这点，让人放心,正面,0.8028758794381641,0.8028758794381641
除了贵没毛病，孩子说好吃！,中性,0.5977029976824363,0.9022970023175637
我家小朋友很喜欢，马上复购了16片,正面,0.6171043890829356,0.6171043890829356
我喜欢的是这个味道 不咸不淡正好和我可味 打算再买一单,中性,0.33959179184678906,0.839591791846789
鸡排回购，比别家好吃很多，希望能出牛排,中性,0.5328056904575295,0.9671943095424705
黑胡椒味好吃,中性,0.4107703254253673,0.9107703254253673
顺丰冷链物流真的很快，包装完美无破损，里面还放了干冰。鸡胸排原味的口味也很棒！,正面,0.8400968944279725,0.8400968944279725
味道不错，发货也很快,正面,0.8629410937572897,0.8629410937572897
嫩滑好吃,正面,0.6498117922702984,0.6498117922702984
发货很快，价格实惠，东西挺不错的,正面,0.857684433894486,0.857684433894486
很嫩，蛮好吃的,正面,0.6897446435265859,0.6897446435265859
包装很好，有冰袋， 物流快！,正面,0.7391203660695451,0.7391203660695451
这个锋味鸡排我己回购几回了好吃，放心吃,中性,0.4464844305422207,0.9464844305422206
无限回购的鸡排 孩子喜欢吃 减脂期的选择也很不错,正面,0.895,0.895
鸡胸肉很赞，很香，还会再买，是减肥期间的美味啊,正面,0.7562269590067516,0.7562269590067516
油煎完挺嫩，吃着挺好吃。,正面,0.7063938720741092,0.7063938720741092
好吃，很多汁，就是有点贵，,正面,0.715898267122756,0.715898267122756
好吃，纯鸡肉，货真价实！,中性,0.4796949562443284,0.9796949562443285
超级好吃,正面,0.6077220230045776,0.6077220230045776
方便，很嫩，味道也不错,正面,0.6883521623523257,0.6883521623523257
从包装到食品十分精致！美味佳肴！家庭必备！,正面,0.6964282488775932,0.6964282488775932
好吃！第一次买惊艳到了,正面,0.7669347902323882,0.7669347902323882
鸡胸肉好吃，已经做三明治了,正面,0.8300438150408702,0.8300438150408702
薄薄的一片，好吃是好吃的。,正面,0.810371485864668,0.810371485864668
多次购买 味道不错，孩子喜欢,正面,0.895,0.895
味道超级好，成分安全，大人小孩都喜欢吃，回购了。,正面,0.746270981496664,0.746270981496664
回购，好吃，放心。,中性,0.508809053147746,0.991190946852254
味道正宗，好好👍,中性,0.5881441460705175,0.9118558539294825
优秀，包装非常棒,正面,0.895,0.895
挺好吃的，很方便,正面,0.7897342478233232,0.7897342478233232
优良品质,正面,0.887669230800805,0.887669230800805
很好吃 不错 挺好的 宝宝也很喜欢,正面,0.895,0.895
真的非常棒，包装食材都很到位,正面,0.8765484614278805,0.8765484614278805
鸡胸肉还不错，包装很好，冰还没融化。味道也还不错，会回购的。,正面,0.832627829180959,0.832627829180959
挺好，买了两次了，好吃不柴,正面,0.7223827024753142,0.7223827024753142
价格是贵了些，味道不错的,正面,0.7758466984286425,0.7758466984286425
已经回购很多次，早餐营养健康又美味,中性,0.4727475339841007,0.9727475339841007
强烈推荐，很好吃，以后继续买,正面,0.7355728325680998,0.7355728325680998
这个不好吃太甜了，其他的都不错,中性,0.4336799920224369,0.9336799920224369
味道蛮好！打算回购！,中性,0.4567237026841322,0.9567237026841322
好吃，还买,正面,0.626410757126747,0.626410757126747
老顾客了，孩子喜欢吃👍,中性,0.588268923563889,0.911731076436111
挺嫩的，还可以，是我吃过各种牌子里味道做的最好的了. 还是推荐的,正面,0.6975759624485426,0.6975759624485426
方便，味道好,正面,0.6034561028172153,0.6034561028172153
好吃。早上煎两块配稀饭。。,负面,0.24362772837950977,0.7563722716204903
锋味鸡排价格实惠。好吃。味道鲜美而美味.多种口味多种选择。天猫超市推荐产品棒棒哒,正面,0.7717533526347191,0.7717533526347191
口味很好，真材实料，发货也很快,正面,0.7757236565291861,0.7757236565291861
商品已收到，内外包装很好，食品卫生日期新鲜，值得信赖的品牌。,正面,0.7422014832909152,0.7422014832909152
好吃 😋 分量不大 价格略贵,正面,0.7460070462034822,0.7460070462034822
挺好的买了二次了👍👍👍👍👍,正面,0.8072310847046514,0.8072310847046514
味道不错，打算再买一单。,中性,0.4952661964577104,0.9952661964577104
感觉这**排味道一般，孩子觉得还行吧,负面,0.3398893690424787,0.6601106309575213
女儿超级喜欢吃，回购了,正面,0.7326180592125805,0.7326180592125805
好吃继续回购,中性,0.42842636663749445,0.9284263666374944
发货很快！包装很好！,正面,0.8635658083872846,0.8635658083872846
还不错的样子,正面,0.895,0.895
复购 没毛病,中性,0.5483807040261484,0.9516192959738516
好评，好吃，好放心！,正面,0.7668431567327991,0.7668431567327991
味道不错👍,正面,0.851826207935308,0.851826207935308
新鲜好吃方便！,正面,0.6848364378760905,0.6848364378760905
娃爱吃 备点货,正面,0.7699361907612527,0.7699361907612527
鸡排还可以，大块的。,中性,0.4483389645679399,0.9483389645679399
回购的，一直信任!,中性,0.4188654469211082,0.9188654469211082
又买的 品质挺好的,正面,0.895,0.895
算是我吃过比较好吃了的同类商品了,正面,0.8767016972855564,0.8767016972855564
奥尔良口味非常好吃，推荐购买,正面,0.872301955160099,0.872301955160099
味道不错，孩子爱吃，品质好，值得推荐,正面,0.8822999295231111,0.8822999295231111
好吃，决定再追加一单,中性,0.573605138308453,0.926394861691547
好少的分量 价钱贵了些,正面,0.8269339295599205,0.8269339295599205
包装严谨，看着挺新鲜的，吃过后再追评。,中性,0.47719410951757696,0.9771941095175769
不错，好吃，就是贵点,正面,0.7244105052994874,0.7244105052994874
好吃😋好吃😋,正面,0.6689250929019126,0.6689250929019126
多次回购的，配料表干净，出厂日期新鲜。冷链包装严实，顺丰快递送货到家，继续赞👍🏻👍🏻,中性,0.4141956638908517,0.9141956638908517
一直买肠仔和午餐肉，鸡扒第一次买。目测很不错，包装也好。还没吃，下次吃了再来评论。,正面,0.678493181789568,0.678493181789568
第一次买鸡排，还不错,正面,0.7257817300622158,0.7257817300622158
口感不错，宝贝喜欢吃，我也觉得可以，做了一个炒饭，跟必胜客味道差不多，还会再买,中性,0.3574892580635001,0.8574892580635001
还没有品尝。包装讲究！不愧是**星座的谢霆锋。这个包装值得我给一个好评！品尝以后再评！,正面,0.7647654607972938,0.7647654607972938
新鲜好吃,正面,0.6848364378760905,0.6848364378760905
一如既往 比较清淡 挺不错的 霆锋哥出品有保障,正面,0.895,0.895
回购的,中性,0.5,1.0
配料表很干净，价格也合适，只要健康就不错。,正面,0.8472281999851505,0.8472281999851505
味道不错 👍,正面,0.851826207935308,0.851826207935308
店家的商品好用耐用，会一直加购，好评。,中性,0.562231274359871,0.937768725640129
发货加送达速度比火箭🚀还快。好评,正面,0.7074158187599797,0.7074158187599797
好吃😋鲜嫩多汁,正面,0.7459582154234584,0.7459582154234584
回购，美味安全,负面,0.31208785858180516,0.6879121414181948
