Sample Preview - Chinese-English Product Reviews,,,,
id,category,zh_review,en_review,sentiment
id_041,smartphone,有点容易发热，特别是边充边玩的时候。,"Gets warm pretty quick, especially when charging and gaming.",neutral
id_042,tablet,隔音效果还行，但不是特别沉浸那种。,"Noise isolation is okay, but not super immersive.",neutral
id_043,tablet,电池能撑一整天，出门不用担心没电。,Battery easily lasts all day—no worries when I’m out.,positive
id_044,tablet,信号挺稳定的，郊区也基本没断过。,"Signal’s really stable—even in the suburbs, no drops.",positive
id_045,headphone,耳机盒有点难打开，设计可以再人性化点。,The case is kinda hard to open—they could’ve designed it better.,negative
id_046,smartphone,开机速度快，几秒钟就进系统了。,Boots up fast—only takes a few seconds to get going.,positive
id_047,headphone,用了几天，不卡顿，也没发热，满意。,"Used it for a few days—no lag, no heating up, pretty satisfied.",positive
id_048,headphone,语音助手反应有点慢，要等一两秒才执行。,Voice assistant’s kinda slow—takes a second or two to respond.,neutral
id_049,tablet,做工挺扎实的，拿在手上很有分量感。,Feels solid in hand—definitely well-built.,positive
id_050,headphone,屏幕色彩偏冷，不是很喜欢这种调调。,The screen colors are too cool-toned for my taste.,negative
id_051,tablet,手感是真的好，边框圆润，拿久了也不会硌手。,"It feels great to hold—rounded edges, no discomfort even after long use.",positive
id_052,tablet,更新完系统以后，屏幕有点卡顿，跟以前比差了点。,"After the system update, the screen started lagging a bit—was smoother before.",negative
id_053,headphone,左耳有时候连不上，要重启才能恢复。,The left earbud sometimes won’t connect—have to restart it to fix.,negative
id_054,headphone,性价比不错，这个配置这个价格可以入手。,Great value for money—worth it for the specs you get.,positive
id_055,smartphone,边看剧边做笔记，效率高很多，超级方便。,Watching shows and taking notes at the same time? Total game changer.,positive
id_056,tablet,充电仓有点松，盖子感觉随时会掉。,"The charging case feels loose, like the lid could pop off anytime.",negative
id_057,tablet,屏幕响应很快，玩游戏手感不错。,The screen responds super fast—gaming feels great on it.,positive
id_058,headphone,配件有点少，连个保护壳都没有。,Not much in the box—not even a case included.,negative
id_059,smartphone,降噪只能说一般吧，在咖啡厅效果不太明显。,Noise cancelling is just so-so—doesn’t block much in a café.,neutral
id_060,headphone,后壳容易沾指纹，强迫症有点受不了。,Back cover picks up fingerprints like crazy—not ideal for clean freaks.,negative
id_061,smartphone,续航不错，白天上班用，晚上回家还有电。,Battery life is solid—still has juice after a full day of work.,positive
id_062,tablet,高频部分有点刺耳，听久了耳朵不太舒服。,The highs sound kinda sharp—gets tiring after a while.,negative
id_063,smartphone,充电速度超快，30分钟就充了快一半。,Charges super fast—almost 50% in just 30 minutes.,positive
id_064,headphone,没有蜂窝版，出门在外就只能靠热点了。,"No cellular version, so I have to tether when I’m out.",neutral
id_065,headphone,耳机戴上去很稳，跑步也不会掉，赞一个。,Stays firmly in place—even while running. Big win.,positive
id_066,headphone,外观设计比较普通，没有特别惊艳的地方。,The design is kinda basic—nothing really eye-catching.,neutral
id_067,headphone,接口只有一个Type-C，有点不太够用。,Only has one Type-C port—not quite enough for my setup.,neutral
id_068,smartphone,音质中规中矩，不算特别惊艳。,Sound quality is average—nothing to write home about.,neutral
id_069,smartphone,夜拍表现不错，噪点控制得挺好。,Night shots turned out well—noise is handled nicely.,positive
id_070,headphone,自带支架挺方便的，不用老是拿着。,The built-in stand is super handy—no need to hold it all the time.,positive
id_071,smartphone,耳机壳有点刮痕，不确定是不是新机。,The case came with a few scratches—kinda doubt if it’s really brand new.,negative
id_072,smartphone,系统自带App太多，删不掉很烦。,Too many pre-installed apps you can’t delete—super annoying.,negative
id_073,smartphone,开会用它共享屏幕很方便，投屏功能稳。,Great for meetings—screen casting works like a charm.,positive
id_074,headphone,中音层次很丰富，听人声特别舒服。,The mids are rich—vocals sound amazing.,positive
id_075,smartphone,信号偶尔抽风，明明满格却收不到消息。,Signal acts up sometimes—full bars but no notifications.,negative
id_076,smartphone,屏幕亮度不够高，户外看不清。,Screen’s not bright enough—hard to see outside.,negative
id_077,headphone,充电口是Type-C，这点必须夸，非常方便。,"It charges via Type-C, which is super convenient—props for that.",positive
id_078,headphone,开箱体验感不错，包装质感挺好。,Unboxing was satisfying—the packaging felt premium.,positive
id_079,smartphone,运行大型PDF文件有点吃力，经常卡顿。,Struggles with large PDFs—lags quite a bit.,negative
id_080,smartphone,蓝牙连接稳定，几乎没断过线。,Bluetooth is rock solid—barely ever disconnects.,positive
id_081,headphone,前置摄像头美颜有点过，调了也没法自然点。,"Front cam beauty mode is too much—even with tweaks, it still looks fake.",negative
id_082,smartphone,内存有点小，装不了几个App就满了。,Storage is pretty limited—just a few apps and it’s full.,negative
id_083,headphone,接电话声音清晰，风大的时候也听得见。,"Calls are super clear—even with wind blowing, no problem hearing.",positive
id_084,smartphone,运行快，但玩游戏发热挺明显的。,"It runs fast, but gets noticeably hot during games.",neutral
id_085,headphone,屏幕比例适合办公，用来看文档很舒服。,Screen ratio is great for work—reading documents feels just right.,positive
id_086,smartphone,按键手感有点生硬，不是很灵敏。,Buttons feel stiff—not very responsive.,negative
id_087,tablet,待机时间超长，忘记充电都还能撑一天。,Standby time is awesome—still going strong even if I forget to charge.,positive
id_088,headphone,接口支持拓展坞，办公拓展性强。,Supports docking station—perfect for a productivity setup.,positive
id_089,headphone,没啥延迟，看视频对口型也对得上。,Almost no delay—lip sync is spot on when watching videos.,positive
id_090,headphone,机身有点滑，没壳的话容易掉手。,The body is slippery—easy to drop without a case.,negative
id_091,headphone,刷网页特别顺，手指滑过去就跟着走。,Scrolling through pages is super smooth—follows your finger perfectly.,positive
id_092,headphone,续航一般，听三个小时左右就没电了。,Battery life’s just okay—lasts about three hours.,neutral
id_093,smartphone,边框有点宽，不太符合现在的审美了。,Bezels are kinda thick—not very modern-looking.,neutral
id_094,headphone,配套键盘手感不错，打字像用笔记本一样。,The keyboard feels great—typing feels just like on a laptop.,positive
id_095,tablet,耳机看起来时尚，配衣服也很搭。,They look super stylish—go well with pretty much any outfit.,positive
id_096,smartphone,没有耳机孔有点不方便，我还得带个转接头。,No headphone jack is a pain—now I have to carry a dongle.,negative
id_097,headphone,界面简洁易懂，爸妈也能轻松上手。,UI is clean and simple—even my parents can use it with no problem.,positive
id_098,smartphone,低音不够劲，有点发虚。,The bass is kind of weak—sounds a bit hollow.,negative
id_099,smartphone,前后摄像头像素都高，自拍和录像都很清晰。,Both front and rear cameras are sharp—great for selfies and videos.,positive
id_100,smartphone,配套手写笔延迟低，几乎没感觉到延时。,The stylus has super low latency—feels instant when writing.,positive
id_101,tablet,带着有点压耳，尤其是眼镜族不是很友好。,Feels a bit tight on the ears—not great if you wear glasses.,negative
id_102,tablet,充满一次电基本能用一天半，挺满意的。,One full charge lasts about a day and a half—pretty happy with that.,positive
id_103,tablet,边框挺窄的，看电影的时候沉浸感强。,Thin bezels really pull you in when watching movies.,positive
id_104,headphone,耳机音量调节反应有点慢，要等一两秒才变。,Volume controls lag a bit—takes a second or two to respond.,neutral
id_105,headphone,系统界面太复杂，找个设置项要翻半天。,The UI is way too complicated—takes forever to find a setting.,negative
id_106,tablet,机身做工细腻，摸起来很有质感。,The build quality is top-notch—feels really premium to the touch.,positive
id_107,headphone,连接电视的时候有延迟，不太适合打游戏。,There’s noticeable lag when paired with a TV—not ideal for gaming.,negative
id_108,headphone,反应很灵敏，解锁和打开App几乎没有等待。,Super responsive—unlocking and launching apps is instant.,positive
id_109,tablet,扬声器音质比我预期好，声音挺饱满的。,The speaker sounds better than I expected—pretty rich and full.,positive
id_110,smartphone,耳机有点偏重，戴久了脖子有点酸。,They’re a bit heavy—neck gets sore after a while.,negative
id_111,tablet,前置摄像头自拍略带美颜，拍出来挺自然的。,The front cam adds a light beauty filter—actually looks pretty natural.,positive
id_112,headphone,屏幕分辨率一般，看久了有点疲劳感。,The resolution’s just okay—eyes get tired after a while.,neutral
id_113,smartphone,说明书有点简略，配对教程看得我一头雾水。,The manual’s way too vague—pairing instructions confused me.,negative
id_114,tablet,开了省电模式之后，使用时间翻了一倍。,Battery life literally doubled with power saving mode on.,positive
id_115,smartphone,接口设计合理，插U盘读卡器都很方便。,Ports are well-placed—plugging in USBs and card readers is super easy.,positive
id_116,headphone,颜色选择少了一点，希望多出点新颜色。,Not enough color options—hope they release more soon.,neutral
id_117,smartphone,摄像头凸起太明显，桌上放不平。,The camera bump is huge—it won’t lie flat on a table.,negative
id_118,tablet,系统更新后多了分屏功能，办公效率提升不少。,The new split-screen feature after the update boosted my productivity.,positive
id_119,smartphone,连苹果设备速度快，安卓稍微慢点。,Pairs super quick with Apple devices—Android’s a bit slower.,neutral
id_120,tablet,一加一摄像头看起来有点老气，没有旗舰感。,The dual cam looks kinda dated—doesn’t give flagship vibes.,negative
id_121,tablet,屏幕支持高刷新率，刷网页贼丝滑。,High refresh rate screen—scrolling feels buttery smooth.,positive
id_122,tablet,佩戴感不错，跑步也不晃动。,"Very secure fit—even while jogging, they stay put.",positive
id_123,tablet,续航表现很顶，出门一天完全不用充。,Battery performance is top-tier—no need to charge all day.,positive
id_124,headphone,系统字体太小，设置里也调不大。,The default font is tiny—and there’s no way to make it bigger in settings.,negative
id_125,tablet,线控按键不太灵敏，按了半天没反应。,The inline controls barely respond—takes multiple presses.,negative
id_126,tablet,支持NFC功能，刷公交太方便了。,NFC support is awesome—makes commuting so much easier.,positive
id_127,headphone,系统偏教育用途，娱乐性不太强。,Feels more like an education tablet—not really built for entertainment.,neutral
id_128,tablet,打开充电盒就自动连接，操作省心。,Opens the case and connects automatically—super hassle-free.,positive
id_129,smartphone,玩手游稍微久一点就开始发热了。,Gets warm after just a bit of mobile gaming.,neutral
id_130,smartphone,电源键设计有点小，不太好按。,The power button is too small—hard to press.,negative
id_131,tablet,看视频时完全没有音画不同步的问题。,Zero audio delay when watching videos—totally in sync.,positive
id_132,tablet,通话清晰，降噪麦克风效果很好。,Crystal-clear calls—the noise-canceling mic works wonders.,positive
id_133,headphone,音量键太靠下了，单手拿的时候容易误触。,The volume button is placed too low—keeps getting pressed by accident.,negative
id_134,smartphone,低延迟模式下玩游戏几乎无卡顿，惊喜。,Gaming in low-latency mode is smooth as butter—very impressed.,positive
id_135,tablet,系统动画有点拖沓，不够利索。,System animations feel sluggish—not very snappy.,neutral
id_136,smartphone,键盘背光灯亮度太低，晚上用不清楚。,Keyboard backlight is too dim—can’t see the keys at night.,negative
id_137,tablet,续航能力超预期，听了一整天还剩电。,Battery life exceeded my expectations—still had charge after all-day use.,positive
id_138,smartphone,机身轻薄，女生单手操作毫无压力。,"Light and slim—super easy for one-handed use, especially for girls.",positive
id_139,tablet,自带支架角度不太稳，稍微动一下就滑。,The built-in stand isn’t very stable—slides down easily.,negative
id_140,smartphone,耳机自动关机太快了，短暂断开就掉线。,Auto shuts down too quickly—disconnects even after short pauses.,negative
id_141,smartphone,电池充满后待机很给力，三天不动都还有电。,Standby time is nuts—left it untouched for 3 days and it still had juice.,positive
id_142,smartphone,平板大小刚好，放包里不占地儿。,Perfect size—fits easily in my bag without taking up space.,positive
id_143,headphone,语音提示声音太大，吓我一跳。,Voice prompts are way too loud—startled me the first time.,negative
id_144,headphone,屏幕支持HDR，看电影真的很震撼。,HDR support makes movies look stunning—super immersive.,positive
id_145,smartphone,配套的手写笔延迟感不明显，写字很顺。,The stylus feels super responsive—writing is smooth and natural.,positive
id_146,headphone,耳机壳带挂绳孔，可以挂在包上，很方便。,The case has a lanyard hole—super handy for hooking it on my bag.,positive
id_147,tablet,信号接收有点弱，电梯里就经常没网。,Signal’s pretty weak—no internet as soon as I’m in the elevator.,negative
id_148,smartphone,支持快充，出门前临时充一下也够用。,Supports fast charging—quick top-up before leaving lasts me hours.,positive
id_149,smartphone,通话麦克风收音还行，室内效果好。,Mic picks up voice decently—works best indoors.,neutral
id_150,headphone,发热控制不错，长时间打电话也不会烫手。,Handles heat well—doesn’t get hot even during long calls.,positive
id_151,smartphone,平板背面容易刮花，用了两天就有细纹了。,The back scratches easily—got fine lines after just two days.,negative
id_152,tablet,蓝牙连接距离够远，房间隔一堵墙也没断。,Bluetooth range is great—no drops even with a wall between.,positive
id_153,tablet,字体看着有点小，看久了有点累眼。,Text is kinda small—my eyes get tired after a while.,neutral
id_154,headphone,耳机自带的语音提示有点吵，没法调音量。,The voice prompts are too loud and you can’t turn them down.,negative
id_155,tablet,支持外接键盘，打字跟在笔记本上一样顺畅。,Works great with an external keyboard—typing feels just like on a laptop.,positive
id_156,tablet,边框做得挺细的，整机观感非常现代。,Thin bezels give it a super modern look.,positive
id_157,headphone,耳机拿出来还要手动连接，有点麻烦。,You have to manually reconnect the earbuds every time—kinda annoying.,negative
id_158,headphone,自带儿童模式，家里小朋友用起来很放心。,Comes with a kid-friendly mode—perfect for the little ones.,positive
id_159,headphone,夜景模式拍照偏慢，稍微一抖就糊了。,Night mode takes too long—any little shake and the shot’s ruined.,negative
id_160,smartphone,音质没想象中惊艳，不过对得起价格。,"Sound isn’t amazing, but fair for the price.",neutral
id_161,headphone,支持多设备登录，工作生活切换方便。,Supports multi-device login—makes switching between work and personal life easy.,positive
id_162,tablet,屏幕看起来有点偏黄，调了色温还是一样。,Screen has a yellowish tint—color settings didn’t help.,negative
id_163,tablet,戴着睡觉不会硌耳，适合听助眠音频。,Comfortable enough to sleep in—great for bedtime audio.,positive
id_164,tablet,边框略宽，但看剧的时候影响不大。,"Bezels are a bit thick, but doesn’t really bother me while watching shows.",neutral
id_165,tablet,信号在楼里还不错，比我上一个强不少。,Signal’s solid even indoors—way better than my last phone.,positive
id_166,headphone,音质对得起价格，低音比预期好。,Decent sound for the price—bass is better than I expected.,positive
id_167,headphone,充电速度一般，两个小时才充满。,Charging is a bit slow—takes about two hours to get full.,neutral
id_168,smartphone,屏幕刷新率没标的那么高，有点骗人。,Refresh rate isn’t as high as advertised—kinda misleading.,negative
id_169,headphone,外观设计简约，戴上去挺有型的。,Sleek minimalist design—looks stylish when worn.,positive
id_170,headphone,系统运行还可以，但切换应用稍微有点慢。,"System runs okay, but app switching is a bit slow.",neutral
id_171,tablet,语音助手识别不太灵敏，说半天才反应。,Voice assistant is slow to respond—needs a few tries.,negative
id_172,smartphone,耳机盒充电口设计不合理，不好插线。,Charging port on the case is awkward—hard to plug in.,negative
id_173,tablet,自带笔记App很好用，学生党福音。,The built-in notes app is amazing—perfect for students.,positive
id_174,tablet,背壳颜色特别有质感，不容易沾指纹。,The back has a premium matte finish—resists fingerprints too.,positive
id_175,tablet,开箱时没有附说明书，只能自己摸索。,No manual in the box—had to figure it out myself.,negative
id_176,headphone,触控笔需要单独购买，有点坑。,Stylus sold separately—bit of a letdown.,negative
id_177,tablet,日常使用不卡，后台多个应用也没问题。,Handles daily use smoothly—even with multiple apps running.,positive
id_178,smartphone,音量调节范围广，适合不同环境使用。,Wide volume range—good for any environment.,positive
id_179,smartphone,外放音质比想象中好，看视频不用外接音响。,Built-in speakers sound better than I thought—no need for extra speakers.,positive
id_180,smartphone,机身太薄，拿着不够稳，容易滑手。,Too thin—feels slippery and hard to hold securely.,negative
id_181,tablet,蓝牙连电脑也没问题，视频会议没卡顿。,Works well with my laptop too—no lag during video calls.,positive
id_182,smartphone,屏幕触感很顺滑，滑动起来很舒服。,Touchscreen is super smooth—feels great to swipe around.,positive
id_183,headphone,声音外放偏小，放音乐没啥震撼感。,Speakers are too quiet—music just doesn’t hit hard.,negative
id_184,smartphone,收纳盒带磁吸，耳机放进去不容易掉。,Magnetic case keeps the buds secure—nice touch.,positive
id_185,tablet,系统启动有点慢，开机得等好一会儿。,Startup is slow—takes a while to boot up.,negative
id_186,headphone,机身背面容易沾灰，得经常擦。,Back panel attracts dust easily—needs frequent cleaning.,neutral
id_187,headphone,配合App用可以自定义EQ，挺实用的。,The companion app lets you tweak the EQ—super handy.,positive
id_188,headphone,屏幕刷新很快，写字几乎没有延迟。,High refresh rate—writing feels almost real-time.,positive
id_189,smartphone,无线充电速度比预期慢，勉强能接受。,"Wireless charging is slower than expected, but acceptable.",neutral
id_190,tablet,耳机拿出来的时候容易误触暂停/播放键。,Keeps pausing/playing when I take them out—too easy to trigger.,negative
id_191,smartphone,支持OTG功能，可以接U盘很方便。,Supports OTG—makes plugging in USB drives super convenient.,positive
id_192,smartphone,打字震动有点强，调弱了也不明显。,Typing vibration is too strong—even at low settings.,negative
id_193,smartphone,左右耳能独立使用，出门遛狗很实用。,Each bud works independently—super useful when walking the dog.,positive
id_194,headphone,屏幕防指纹效果一般，滑几下就油腻了。,Fingerprint resistance could be better—gets greasy fast.,neutral
id_195,tablet,拍照速度快，按下快门就立刻成像。,Fast shutter speed—captures instantly.,positive
id_196,headphone,音质可以，但有时候会有轻微杂音。,"Sound is good overall, but there's occasional static.",neutral
id_197,smartphone,屏幕显示效果细腻，看文字特别清楚。,Screen is super sharp—text is crystal clear.,positive
id_198,smartphone,拍摄4K视频时会稍微发热，但画质没话说。,"Gets a bit warm during 4K recording, but the video quality is top-notch.",positive
id_199,tablet,充一次电能用好几天，续航是真的强。,One charge lasts several days—battery life is insane.,positive
id_200,tablet,边框略厚，但操作区很清晰，误触少。,Bezels are thick but help avoid accidental touches.,neutral
id_201,tablet,后盖颜色好看到爆，阳光下还有点变色的感觉。,The back cover color is stunning—kind of shifts in the sunlight.,positive
id_202,smartphone,偶尔右耳没有声音，重连一次才正常。,Right earbud sometimes goes silent—have to reconnect to fix it.,negative
id_203,tablet,系统自带笔记软件挺好用的，不用额外下载。,The built-in notes app is super handy—no need for third-party apps.,positive
id_204,smartphone,游戏模式很实用，不会被通知打扰。,Game mode is a lifesaver—no interruptions from notifications.,positive
id_205,smartphone,做工感觉一般，塑料感重。,Build quality feels cheap—very plasticky.,negative
id_206,tablet,外放声音偏小，插耳机才听得清。,Speakers are too quiet—you need headphones to hear clearly.,negative
id_207,smartphone,充电发热不严重，比以前那台强多了。,Doesn’t heat up much while charging—way better than my old phone.,positive
id_208,headphone,戴着跑步不会掉，稳得很。,They stay put during runs—really secure fit.,positive
id_209,tablet,系统简洁易懂，爸妈都能用。,The system’s super easy to use—even my parents figured it out.,positive
id_210,tablet,指纹识别有时候不灵敏，要按几次。,Fingerprint scanner is hit or miss—takes a few tries.,negative
id_211,headphone,中频清晰，人声特别立体。,Mids are crisp—vocals sound super clear and full.,positive
id_212,headphone,重量比我预期轻，出门带着也不累。,Lighter than expected—easy to carry around all day.,positive
id_213,smartphone,拍照界面有点复杂，得摸索一会才会用。,Camera UI is a bit confusing—took me a while to figure it out.,neutral
id_214,smartphone,配对需要点耐心，第一次挺慢的。,Takes some patience to pair the first time—it’s a bit slow.,neutral
id_215,headphone,自带支架有点松，撑不稳。,The built-in stand is kinda loose—doesn’t stay upright well.,negative
id_216,smartphone,视频防抖做得不错，手持也不糊。,Video stabilization is solid—clear footage even without a gimbal.,positive
id_217,headphone,音质不错，就是低音不够震撼。,"Sound is good overall, but bass could use more punch.",neutral
id_218,headphone,续航非常强，开一天视频课都没问题。,Battery lasts all day—no problem with back-to-back video classes.,positive
id_219,headphone,系统更新慢，安全补丁总是晚半拍。,System updates are slow—security patches always arrive late.,negative
id_220,tablet,耳机盒有点大，裤兜放着不舒服。,The case is bulky—feels awkward in the pocket.,negative
id_221,headphone,音质中规中矩，适合看剧但别指望影院效果。,"Sound is average—fine for shows, just don’t expect cinema vibes.",neutral
id_222,tablet,整体用下来挺顺的，没出现卡顿。,Overall smooth experience—no lag so far.,positive
id_223,tablet,耳机支持触控操作，反应还挺灵敏。,Touch controls are responsive—nice little feature.,positive
id_224,smartphone,没有护眼模式，用久了有点刺眼。,No eye comfort mode—screen gets harsh after long use.,negative
id_225,headphone,充电速度快，插上十分钟能用一上午。,Charges fast—ten minutes gives me a whole morning of use.,positive
id_226,tablet,连接稳定，没出现断连情况。,Connection is stable—no dropouts so far.,positive
id_227,headphone,屏幕反光有点严重，白天户外不太好用。,Screen glare is pretty bad—hard to use outdoors during the day.,negative
id_228,smartphone,自带壳和贴膜，开箱就能用很贴心。,Comes with a case and screen protector—ready to go out of the box.,positive
id_229,tablet,收音麦克风还不错，语音消息很清晰。,Mic works well—voice notes come through clear.,positive
id_230,headphone,UI有点陈旧，看起来不太现代。,The UI looks dated—not very modern.,neutral
id_231,tablet,边缘设计不割手，裸机手感也很不错。,Smooth edges—feels good even without a case.,positive
id_232,tablet,电量显示不准，明明快没电了还显示50%。,Battery indicator is off—shows 50% but dies soon after.,negative
id_233,smartphone,系统更新频繁，总是弹提示，有点烦。,Too many update prompts—it’s kind of annoying.,negative
id_234,tablet,快充兼容性好，用其他充电头也没问题。,Great fast charge compatibility—works fine with third-party chargers.,positive
id_235,smartphone,耳机套材质柔软，久戴也不会痛。,The ear tips are super soft—no pain even after long use.,positive
id_236,smartphone,开机动画有点长，希望以后能优化下。,Startup animation is too long—hope they speed that up in updates.,neutral
id_237,tablet,开机速度飞快，几秒钟就能用。,Boots up in seconds—super fast startup.,positive
id_238,smartphone,双击暂停偶尔不灵敏，要点好几次。,Double-tap to pause isn’t always responsive—takes a few tries.,neutral
id_239,tablet,系统支持多窗口操作，办公效率高了不少。,Multi-window mode boosts productivity a lot—great for multitasking.,positive
id_240,tablet,拍照算法有点过度优化，颜色不太真实。,The camera over-processes photos—colors don’t look natural.,neutral
id_241,smartphone,盒盖松了点，不太紧，感觉不牢靠。,The case lid is a bit loose—doesn’t feel very secure.,negative
id_242,tablet,触控灵敏，反应跟得上笔尖动作。,Touch is responsive—keeps up with the stylus perfectly.,positive
id_243,tablet,拍照对焦速度快，连拍也不卡。,"Focus is fast, and burst mode works smoothly.",positive
id_244,smartphone,开盖自动配对功能特别方便。,Auto-pair when opening the case—super convenient.,positive
id_245,tablet,边框容易进灰，需要经常擦一擦。,Dust gets stuck in the bezels—have to clean it often.,neutral
id_246,tablet,指纹识别区域太小，按不准。,Fingerprint area is tiny—hard to hit it right.,negative
id_247,tablet,耳机没有防水设计，夏天用有点担心。,Not waterproof—kinda worried about using it in summer.,negative
id_248,tablet,系统不卡，滑动操作跟手，流畅度高。,System runs smooth—touch gestures are super responsive.,positive
id_249,headphone,震动马达手感不错，打字很有反馈。,Vibration motor feels great—typing feedback is on point.,positive
id_250,tablet,带上几乎感觉不到重量，佩戴感一级棒。,Feels weightless when worn—super comfortable.,positive
id_251,tablet,看漫画的时候画质清晰，色彩也很饱满。,Comics look crisp and vibrant—the colors really pop.,positive
id_252,tablet,耳塞有点太紧了，戴久了耳朵有点痛。,Ear tips are a bit too tight—ears start to hurt after a while.,negative
id_253,tablet,系统动画很顺滑，用起来有种高级感。,System animations are super smooth—feels premium to use.,positive
id_254,smartphone,充电头没有附送，自己还得另买一个。,No charger included—had to buy one separately.,negative
id_255,tablet,适配各种设备都很快，兼容性强。,Pairs quickly with all kinds of devices—great compatibility.,positive
id_256,tablet,边缘曲面设计好看但容易误触。,Curved edges look nice but lead to accidental touches.,neutral
id_257,smartphone,整机手感不错，拿在手上有点重量但不重。,Feels solid in hand—has some weight without being too heavy.,positive
